time,latitude,longitude,temperature,gas1,gas2,voc,humidity,light,sound
1,0.511554643,0.681473153,58.60765193,0.67224276,0.731939467,0.821172442,0.546593002,0.969939115,0.922041297
2,0.62860053,0.460617672,20.64796458,0.920160696,0.677464625,0.410582684,0.911795486,0.921372193,0.271160041
3,0.560252702,0.720339364,38.51787254,0.840496415,0.944182901,0.353810812,0.410652553,0.38685303,0.977263453
4,0.36247962,0.710257549,74.87690649,0.453054502,0.695610455,0.252829898,0.936512974,0.888661922,0.276658822
5,0.184090512,0.906939063,56.61483107,0.6667269,0.99542503,0.232115315,0.637440819,0.192037184,0.507986802
6,0.883355566,0.469388239,86.00606686,0.431754691,0.026917281,0.763671127,0.461998339,0.496546037,0.408994284
7,0.256092846,0.527181127,5.216801378,0.856673382,0.249703285,0.800620078,0.676163868,0.191432437,0.127836954
8,0.350920336,0.949599371,70.8636539,0.734498166,0.771772957,0.652282863,0.360995701,0.941852846,0.08537961
9,0.476462449,0.099060015,54.49254415,0.850169042,0.938037011,0.811614454,0.81699209,0.797708591,0.608275789
10,0.816837208,0.2408075,2.500757099,0.860793741,0.801311318,0.753669604,0.87528265,0.649111636,0.014619605
11,0.062277464,0.272400869,50.92728938,0.953414876,0.59499663,0.633061796,0.507130675,0.766087298,0.808428245
12,0.314943526,0.2040922,75.26778386,0.774445253,0.549958616,0.315822261,0.693697579,0.868387807,0.833315124
13,0.703868149,0.161263938,8.592171862,0.338355308,0.75101631,0.427083431,0.055688052,0.727843779,0.985999187
14,0.010940951,0.893605566,15.69325077,0.913764797,0.035749647,0.26524309,0.266833592,0.791287972,0.921429614
15,0.343160272,0.756960163,15.41936815,0.105162419,0.322084069,0.572863472,0.148415064,0.751301179,0.97865559
16,0.949318046,0.068207248,49.77434974,0.349899174,0.616522818,0.640039961,0.569147587,0.134839154,0.758949822
17,0.180043478,0.705305903,38.61560039,0.747255788,0.313347457,0.344037026,0.812022795,0.330230513,0.261690603
18,0.467556802,0.870078773,91.97600909,0.562518816,0.024662176,0.804344983,0.729756458,0.966450972,0.19398924
19,0.551379449,0.75178952,90.68537161,0.751240687,0.020430438,0.913365369,0.903387373,0.420497988,0.930960322
20,0.37607027,0.055771281,84.09210515,0.176419694,0.732262124,0.050249725,0.033576339,0.684412723,0.740789281
21,0.188115702,0.609976081,29.46372671,0.734393105,0.979056777,0.855715428,0.921392384,0.709546579,0.940889739
22,0.165613505,0.108510865,58.12572358,0.987014345,0.723299076,0.16283958,0.043323989,0.834255898,0.222219334
23,0.514549542,0.335493558,41.36629467,0.585107007,0.559800134,0.889085437,0.002410875,0.141553919,0.215197744
24,0.342883147,0.065463075,67.67374917,0.6196032,0.26875158,0.861983298,0.748069983,0.844567069,0.877524078
25,0.233863679,0.427423755,54.2837065,0.310006508,0.983895966,0.205693825,0.574718753,0.662106133,0.587758741
26,0.601920717,0.082175191,91.8882563,0.388088245,0.508034964,0.896990062,0.810126385,0.89955218,0.583752092
27,0.97757965,0.269376682,68.04505028,0.471317008,0.026593,0.096640367,0.994980614,0.23342186,0.141785764
28,0.861963177,0.582021626,34.39974394,0.344504936,0.483520278,0.102117356,0.049187284,0.470780824,0.756665782
29,0.671319581,0.449875561,26.9287847,0.743836897,0.589613888,0.19127992,0.500509292,0.653459233,0.741047973
30,0.215097802,0.001394015,55.23444935,0.511255099,0.086097681,0.388461779,0.263009109,0.916232019,0.660311383
31,0.242316465,0.882855159,92.76350014,0.348030132,0.533704853,0.86737467,0.330039523,0.817478262,0.550596093
32,0.700580376,0.390423707,39.44136245,0.288933482,0.465068658,0.734647793,0.669824213,0.195691163,0.882861032
33,0.447753414,0.834351873,60.95385793,0.546141526,0.753470632,0.094899472,0.657296448,0.561090609,0.917915132
34,0.261764331,0.534444126,61.31010732,0.748020446,0.681447497,0.887210229,0.050960283,0.001826029,0.499074012
35,0.348943143,0.359721061,28.09705328,0.810863748,0.805919651,0.70019495,0.344945364,0.87270913,0.975597971
36,0.02669808,0.401315034,89.92982549,0.073065723,0.461187575,0.566764138,0.520023109,0.249646267,0.586196846
